name,throw1,throw2,throw3,throw4,throw5,throw6,year
Sanderson,69.56,66.56,63.68,64.84,66.86,64.10,1984
Lillak,61.14,69.00,NA,NA,NA,NA,1984
Whitbread,64.52,65.42,NA,65.82,67.14,NA,1984
Laaksalo,56.42,61.36,NA,66.40,59.64,65.72,1984
Solberg,64.52,60.90,NA,NA,NA,NA,1984
Thyssen,61.12,63.26,55.64,55.96,60.42,56.26,1984
Peters,61.84,59.90,NA,61.24,57.98,62.34,1984
Smith,60.54,NA,55.92,59.14,NA,62.06,1984
Felke,72.62,74.68,66.12,66.76,71.12,68.38,1988
Whitbread,61.98,67.46,66.58,64.86,67.82,70.32,1988
Koch,67.30,65.66,66.48,62.04,65.64,66.02,1988
Kostyuchenkova,64.34,67.00,63.12,63.42,63.10,NA,1988
Renk,60.86,58.74,63.98,64.60,64.74,66.38,1988
Yermolovich,64.84,NA,NA,NA,NA,NA,1988
Mayhew,57.52,NA,61.78,59.72,NA,56.74,1988
Thyssen,60.76,60.12,56.66,NA,59.64,58.28,1988
Renk,67.24,62.08,65.34,65.62,65.62,68.34,1992
Shikolenko,68.26,67.42,NA,NA,NA,NA,1992
Forkel,65.02,NA,62.76,65.84,66.86,66.80,1992
Sanderson,63.58,NA,62.60,NA,NA,59.80,1992
Hattestad,59.52,58.52,63.54,NA,59.70,NA,1992
Rantanen,62.34,59.62,NA,58.02,61.36,58.76,1992
Meier,NA,58.36,58.34,NA,57.54,59.02,1992
García,54.56,58.00,58.26,NA,NA,NA,1992
Rantanen,67.94,64.72,63.84,62.60,63.82,59.18,1996
McPaul,61.72,62.74,64.18,59.76,63.34,65.54,1996
Hattestad,61.42,60.78,NA,58.66,62.74,64.98,1996
López,NA,63.50,57.98,NA,64.68,NA,1996
Rivero,NA,61.9462.76,NA,64.48,61.60,1996
Forkel,56.50,59.20,64.18,58.70,62.04,62.42,1996
Ingberg,NA,61.52,NA,60.30,NA,NA,1996
Lei,NA,56.96,60.74,59.56,58.52,60.12,1996
Hattestad,68.91,62.27,NA,64.38,66.22,64.09,2000
Maniani-Tzelili,NA,65.56,67.51,61.96,65.34,67.51,2000
Menéndez,66.03,64.99,65.17,63.95,62.47,66.18,2000
Nerius,61.99,61.41,64.84,57.88,61.11,61.02,2000
Bisset,63.26,62.77,NA,NA,62.85,63.11,2000
Rivero,62.10,62.92,NA,60.20,NA,NA,2000
Shikolenko,58.28,62.91,61.54,NA,NA,61.97,2000
Tomečková,58.13,55.86,58.69,56.12,61.30,62.10,2000
Menéndez,71.53,NA,65.41,68.60,63.64,NA,2004
Nerius,63.02,60.58,NA,NA,63.60,65.82,2004
Manjani,62.29,63.61,NA,62.20,NA,64.29,2004
Brejchová,62.46,63.77,64.23,NA,63.77,62.55,2004
Bisset,61.93,59.58,60.39,60.32,60.20,63.54,2004
Eve,57.25,58.09,62.77,58.50,NA,59.02,2004
Bicet,62.36,60.64,60.70,62.51,60.41,61.61,2004
Lyakhovych,59.52,57.26,61.75,NA,57.39,55.70,2004
Špotáková,69.22,67.04,NA,64.92,NA,71.42,2008
Obergföll,66.13,NA,63.34,NA,NA,NA,2008
Sayers,65.75,59.40,62.92,59.72,65.03,56.83,2008
Nerius,64.05,62.25,59.97,NA,NA,65.29,2008
Menéndez,63.35,NA,NA,NA,NA,NA,2008
Madejczyk,58.74,59.16,58.67,NA,58.21,62.02,2008
Molitor,53.19,57.37,59.64,58.81,56.72,57.00,2008
Špotáková,66.90,66.88,66.24,69.55,NA,NA,2012
Obergföll,65.16,NA,NA,NA,NA,NA,2012
Stahl,59.49,63.24,62.67,64.91,NA,NA,2012
Viljoen,64.53,62.71,57.30,57.05,60.93,62.61,2012
Huihui,59.97,63.28,58.58,61.26,63.70,62.19,2012
Molitor,62.89,58.15,58.51,NA,NA,NA,2012
Ratej,NA,58.89,61.62,NA,60.11,56.90,2012
Palameika,56.47,60.73,NA,59.32,NA,59.22,2012
Kolak,60.89,62.95,63.00,66.18,NA,59.42,2016
Viljoen,64.92,61.04,NA,63.00,NA,NA,2016
Špotáková,60.16,63.73,NA,61.25,64.80,NA,2016
Andrejczyk,61.92,59.25,60.23,59.31,64.78,63.69,2016
Khaladovich,62.68,60.24,64.60,60.49,63.52,64.24,2016
Mitchell,NA,64.36,NA,NA,62.20,63.02,2016
Huihui,60.32,63.50,59.56,64.04,NA,56.96,2016
Obergföll,60.17,62.28,NA,NA,NA,62.92,2016
Shiying,66.34,NA,63.40,NA,NA,NA,2020
Andrejczyk,62.56,64.61,61.03,63.62,64.45,59.31,2020
Barber,61.98,63.69,63.34,64.04,58.85,64.56,2020
Tuğsuz,NA,NA,62.13,62.17,63.35,64.00,2020
Huihui,62.83,63.11,63.41,61.85,59.54,59.44,2020
Mitchell,61.82,61.66,60.08,NA,NA,NA,2020
Jasiūnaitė,60.06,58.66,59.09,55.64,58.39,NA,2020
Little,59.96,57.80,55.47,54.76,54.94,54.51,2020
Kitaguchi,65.80,62.39,NA,61.68,64.73,NA,2024
Dyk,59.72,61.72,63.93,NA,62.07,57.07,2024
Ogrodníková,58.13,NA,63.68,58.34,61.45,58.04,2024
Kolak,57.86,58.85,63.40,58.43,62.31,63.03,2024
Ruiz,60.49,63.00,62.41,61.68,60.14,61.35,2024
Aguilar,62.78,NA,60.17,NA,61.58,NA,2024
Mitchell,62.63,59.57,60.31,62.16,NA,NA,2024
Andrejczyk,62.44,60.52,NA,NA,NA,57.74,2024